Epoch: 495 PSNR=22.192907424962872, SSIM=0.4532289086039226, MSE=27.809603901978754, gradientA=0, gradientB=0 
Epoch: 500 PSNR=21.874284394380894, SSIM=0.4906020914751918, MSE=27.578700270735958, gradientA=0, gradientB=0 
Epoch: 505 PSNR=22.18138194727509, SSIM=0.49980931466334594, MSE=27.411205714270675, gradientA=0, gradientB=0 
Epoch: 510 PSNR=20.83094176840268, SSIM=0.434897947095598, MSE=27.459559265554436, gradientA=0, gradientB=0 
Epoch: 515 PSNR=19.93059936964946, SSIM=0.38694277135251365, MSE=27.819222273421158, gradientA=0, gradientB=0 
Epoch: 520 PSNR=21.58759105773276, SSIM=0.46616165587092784, MSE=27.55596805212459, gradientA=0, gradientB=0 
Epoch: 525 PSNR=22.597664377863254, SSIM=0.46699515159976734, MSE=27.650759989511837, gradientA=0, gradientB=0 
Epoch: 530 PSNR=21.32104244175922, SSIM=0.44551618733511456, MSE=27.73382011952439, gradientA=0, gradientB=0 
Epoch: 535 PSNR=21.124558811500062, SSIM=0.4187939034845703, MSE=27.550732600818158, gradientA=0, gradientB=0 
Epoch: 540 PSNR=21.382845527296322, SSIM=0.45715832575537246, MSE=27.809989350900903, gradientA=0, gradientB=0 
Epoch: 545 PSNR=23.395147116458208, SSIM=0.5558409069213116, MSE=27.789216836899275, gradientA=0, gradientB=0 
Epoch: 550 PSNR=20.846622147628413, SSIM=0.4160516896445792, MSE=27.506843451561966, gradientA=0, gradientB=0 
Epoch: 555 PSNR=21.512636881891066, SSIM=0.47519882328514795, MSE=27.515765115477368, gradientA=0, gradientB=0 
Epoch: 560 PSNR=22.50036168323886, SSIM=0.45785645914148965, MSE=27.873852429028126, gradientA=0, gradientB=0 
Epoch: 565 PSNR=23.421914874065312, SSIM=0.5470385625948794, MSE=27.739681972337124, gradientA=0, gradientB=0 
Epoch: 570 PSNR=21.23070519993235, SSIM=0.45146680769714576, MSE=27.858629116036383, gradientA=0, gradientB=0 
Epoch: 575 PSNR=23.01650811925064, SSIM=0.525600121362593, MSE=27.796106524058796, gradientA=0, gradientB=0 
Epoch: 580 PSNR=23.636163423500644, SSIM=0.5730040536038249, MSE=27.686487128680476, gradientA=0, gradientB=0 
Epoch: 585 PSNR=19.474418128015355, SSIM=0.3719965459338571, MSE=27.615874447938065, gradientA=0, gradientB=0 
Epoch: 590 PSNR=23.247473897465923, SSIM=0.5484786041159899, MSE=27.502469079907186, gradientA=0, gradientB=0 
Epoch: 595 PSNR=23.550544795876117, SSIM=0.5381929039640516, MSE=27.59412069348139, gradientA=0, gradientB=0 
Epoch: 600 PSNR=21.62080638637239, SSIM=0.46901037595225253, MSE=27.59472699709701, gradientA=0, gradientB=0 
Epoch: 605 PSNR=23.20707247437867, SSIM=0.5312419994406824, MSE=27.996980650779516, gradientA=0, gradientB=0 
Epoch: 610 PSNR=23.179377091004614, SSIM=0.5221542514751204, MSE=27.695127836047472, gradientA=0, gradientB=0 
Epoch: 615 PSNR=22.31997797029871, SSIM=0.4596486880658415, MSE=27.697699101576152, gradientA=0, gradientB=0 
Epoch: 620 PSNR=22.341630756017725, SSIM=0.49089492871684887, MSE=27.712022481854692, gradientA=0, gradientB=0 
Epoch: 625 PSNR=23.651923212111683, SSIM=0.566397234111039, MSE=27.73771154363627, gradientA=0, gradientB=0 
Epoch: 630 PSNR=21.643253355907987, SSIM=0.4456569492328139, MSE=27.970480124357593, gradientA=0, gradientB=0 
Epoch: 635 PSNR=21.396598392834917, SSIM=0.46308567445709575, MSE=27.708032938240343, gradientA=0, gradientB=0 
Epoch: 640 PSNR=21.746422959442626, SSIM=0.4989289206045004, MSE=27.63206084690443, gradientA=0, gradientB=0 
Epoch: 645 PSNR=23.394581026453473, SSIM=0.5413638779475612, MSE=27.715192994148268, gradientA=0, gradientB=0 
Epoch: 650 PSNR=21.208003812419197, SSIM=0.45695952486738634, MSE=27.61521934453388, gradientA=0, gradientB=0 
Epoch: 655 PSNR=22.669589289001205, SSIM=0.5280684978560175, MSE=27.875553142673116, gradientA=0, gradientB=0 
Epoch: 660 PSNR=21.410545275369568, SSIM=0.459561817574634, MSE=27.692023493087067, gradientA=0, gradientB=0 
Epoch: 665 PSNR=20.927436256239197, SSIM=0.43405320557864774, MSE=27.85225757486048, gradientA=0, gradientB=0 
Epoch: 670 PSNR=21.1558092684389, SSIM=0.42266579066787874, MSE=27.64689606086914, gradientA=0, gradientB=0 
Epoch: 675 PSNR=21.87300031022543, SSIM=0.457752772025488, MSE=27.81830017321155, gradientA=0, gradientB=0 
Epoch: 680 PSNR=23.019280924120768, SSIM=0.5292416232600489, MSE=27.72427086534135, gradientA=0, gradientB=0 
Epoch: 685 PSNR=20.435154076244537, SSIM=0.3948050474498181, MSE=27.777814407275137, gradientA=0, gradientB=0 
Epoch: 690 PSNR=22.783044103956637, SSIM=0.49871521974347927, MSE=27.896560246483258, gradientA=0, gradientB=0 
Epoch: 695 PSNR=23.414811571945492, SSIM=0.5575113392797417, MSE=27.562917990049694, gradientA=0, gradientB=0 
Epoch: 700 PSNR=22.911913057339117, SSIM=0.5349109983757121, MSE=27.635448029249662, gradientA=0, gradientB=0 
Epoch: 705 PSNR=22.239884766597044, SSIM=0.47421210099452565, MSE=27.606022985889336, gradientA=0, gradientB=0 
Epoch: 710 PSNR=22.778306398096866, SSIM=0.48659855031923793, MSE=27.73404355112938, gradientA=0, gradientB=0 
Epoch: 715 PSNR=23.488640995849863, SSIM=0.5582349854423191, MSE=27.75483928509763, gradientA=0, gradientB=0 
Epoch: 720 PSNR=20.847184388196034, SSIM=0.43675346518054586, MSE=27.656795315666574, gradientA=0, gradientB=0 
Epoch: 725 PSNR=23.75635940761921, SSIM=0.5661179267851457, MSE=27.76339596899625, gradientA=0, gradientB=0 
Epoch: 730 PSNR=22.54967967279639, SSIM=0.48736147892388726, MSE=27.551512791696926, gradientA=0, gradientB=0 
